title,link,score,clean_title,sentiment_score,sentiment,topic
No elephants: Breakthroughs in image generation (oneusefulthing.org),https://www.oneusefulthing.org/p/no-elephants-breakthroughs-in-image,394 points,elephants breakthroughs image generation oneusefulthingorg,-0.296,Negative,3
Decomposing factorial of 300K as the product of 300K factors larger than 100K (gus-massa.blogspot.com),http://gus-massa.blogspot.com/2025/04/decomposing-factorial-of-300k-as.html,77 points,decomposing factorial 300k product 300k factors larger 100k gusmassablogspotcom,0.0,Neutral,3
How to Recognize Woodpeckers by Their Drumming Sounds (allaboutbirds.org),https://www.allaboutbirds.org/news/how-to-recognize-woodpeckers-by-their-drumming-sounds/,86 points,recognize woodpeckers drumming sounds allaboutbirdsorg,0.0,Neutral,0
Solving a “Layton Puzzle” with Prolog (buttondown.com/hillelwayne),https://buttondown.com/hillelwayne/archive/a48fce5b-8a05-4302-b620-9b26f057f145/,72 points,solving layton puzzle prolog buttondowncomhillelwayne,0.34,Positive,0
Better typography with text-wrap pretty (webkit.org),https://webkit.org/blog/16547/better-typography-with-text-wrap-pretty/,226 points,better typography textwrap pretty webkitorg,0.7269,Positive,0
Analytic Combinatorics – A Worked Example (grossack.site),https://grossack.site/2025/04/08/analytic-combinatorics-example.html,82 points,analytic combinatorics worked example grossacksite,0.0,Neutral,2
Ask HN: Do you still use search engines?,item?id=43619768,236 points,ask hn still use search engines,0.0,Neutral,2
Thank HN: The puzzle game I posted here 6 weeks ago got licensed by The Atlantic (theatlantic.com),https://www.theatlantic.com/games/bracket-city/,795 points,thank hn puzzle game posted 6 weeks ago got licensed atlantic theatlanticcom,0.3612,Positive,2
An Overwhelmingly Negative and Demoralizing Force (aftermath.site),https://aftermath.site/ai-video-game-development-art-vibe-coding-midjourney,314 points,overwhelmingly negative demoralizing force aftermathsite,-0.6369,Negative,0
"Show HN: Coroot – eBPF-based, open source observability with actionable insights (github.com/coroot)",https://github.com/coroot/coroot,117 points,show hn coroot ebpfbased open source observability actionable insights githubcomcoroot,0.0,Neutral,2
Intelligence Evolved at Least Twice in Vertebrate Animals (quantamagazine.org),https://www.quantamagazine.org/intelligence-evolved-at-least-twice-in-vertebrate-animals-20250407/,207 points,intelligence evolved least twice vertebrate animals quantamagazineorg,0.4767,Positive,2
The Decline of the U.S. Machine-Tool Industry and Prospects for Recovery (1994) (rand.org),https://www.rand.org/pubs/research_briefs/RB1500.html,170 points,decline us machinetool industry prospects recovery 1994 randorg,0.296,Positive,0
Show HN: Soundscapes and Lofi Player (noisefill.com),https://www.noisefill.com/,23 points,show hn soundscapes lofi player noisefillcom,0.0,Neutral,2
Middle-aged man trading cards go viral in rural Japan town (tokyoweekender.com),https://www.tokyoweekender.com/entertainment/middle-aged-man-trading-cards-go-viral-in-japan/,1703 points,middleaged man trading cards go viral rural japan town tokyoweekendercom,0.0,Neutral,1
The Greatest Motorcycle Photo (life.com),https://www.life.com/arts-entertainment/the-greatest-motorcycle-photo-ever/,124 points,greatest motorcycle photo lifecom,0.6369,Positive,3
Show HN: HNSW index for vector embeddings in approx 500 LOC (github.com/dicroce),https://github.com/dicroce/hnsw,67 points,show hn hnsw index vector embeddings approx 500 loc githubcomdicroce,0.0,Neutral,2
NNN: Next-Generation Neural Networks for Marketing Mix Modeling (arxiv.org),https://arxiv.org/abs/2504.06212,10 points,nnn nextgeneration neural networks marketing mix modeling arxivorg,0.0,Neutral,0
